SRA run accession number	tissue	MR1:NM_001195000 normalized count	MR1:NM_001531 normalized count	NM_001531:NM_001195000 ratio
SRR1421159	Prostate	15.9197	8.30591	0.260869
SRR818523	Colon	12.07	6.24312	0.258621
SRR1331130	Blood	72.3605	38.5923	0.266667
SRR1379581	Esophagus	6.31836	3.15918	0.25
SRR2166570	Lung	44.9416	23.8879	0.265766
SRR1395554	Adipose Tissue	17.9678	9.4117	0.261905
SRR1369514	Esophagus	36.7159	19.4819	0.265306
SRR1443633	Pancreas	6.26329	3.13164	0.25
SRR1123775	Bone Marrow	30.6213	16.2113	0.264706
SRR1367588	Thyroid	15.1717	7.91569	0.26087
SRR1365743	Pancreas	6.25066	3.12533	0.25
SRR1446244	Blood	19.2308	10.0962	0.262501
SRR1326179	Brain	6.24097	3.12048	0.25
SRR1072998	Bone Marrow	35.0947	18.6217	0.265306
SRR1403050	Brain	6.19527	3.09763	0.25
SRR654969	Thyroid	45.39	24.1592	0.266129
SRR1339856	Blood	20.8984	10.9992	0.263159
SRR1456548	Prostate	17.0012	8.90537	0.261904
SRR1444203	Adipose Tissue	16.9452	8.87605	0.261905
SRR627459	Lung	25.2079	13.3174	0.264151
SRR1470336	Adrenal Gland	23.2656	12.2791	0.26389
SRR1378818	Esophagus	6.12522	3.06261	0.25
SRR1352530	Blood	41.4793	22.0777	0.266129
SRR1434845	Small Intestine	14.2384	7.42874	0.26087
SRR1320873	Brain	6.0719	3.03595	0.25
SRR1078538	Esophagus	16.184	8.47732	0.261904
SRR816969	Prostate	12.7634	6.63698	0.26
SRR1361814	Colon	13.9755	7.29159	0.26087
SRR812745	Pancreas	6.0256	3.0128	0.25
SRR1324119	Skin	13.8959	7.25002	0.260869
SRR1310604	Spleen	21.8211	11.5167	0.263889
SRR1432823	Brain	5.99039	2.99519	0.25
SRR1413978	Pituitary	15.6713	8.20879	0.261905
SRR810829	Stomach	11.515	5.97075	0.25926
SRR1466812	Esophagus	15.5887	8.16553	0.261905
SRR1420687	Ovary	25.0135	13.2424	0.264705
SRR1088365	Adrenal Gland	30.3144	16.1045	0.265625
SRR1352346	Adrenal Gland	15.161	7.94146	0.261904
SRR1076244	Pancreas	5.89271	2.94636	0.25
SRR1319059	Small Intestine	13.2678	6.92234	0.26087
SRR1075997	Heart	5.88392	2.94196	0.25
SRR1102899	Liver	17.9301	9.4369	0.263158
SRR1485078	Heart	14.9482	7.83003	0.261905
SRR1472812	Esophagus	23.3594	12.3667	0.264705
SRR1337930	Small Intestine	5.8604	2.9302	0.25
SRR1433860	Blood	43.7879	23.3867	0.267045
SRR1476255	Stomach	5.84387	2.92193	0.25
SRR1415355	Stomach	5.83795	2.91897	0.25
SRR1350912	Skin	31.787	16.9189	0.266129
SRR1078809	Esophagus	22.7621	12.0505	0.264705
SRR1103024	Skin	44.8839	23.9897	0.267242
SRR1393470	Thyroid	19.4296	10.2545	0.263889
SRR1464618	Blood	19.3752	10.2258	0.263889
SRR1487425	Heart	14.1099	7.39089	0.261904
SRR1333485	Adipose Tissue	25.8831	13.7504	0.265625
SRR1310817	Pituitary	21.4372	11.3491	0.264706
SRR1469839	Esophagus	16.5264	8.69813	0.263159
SRR659121	Brain	5.70813	2.85406	0.25
SRR818396	Brain	5.70243	2.85122	0.25
SRR1394872	Thyroid	20.7471	10.9838	0.264707
SRR615695	Lung	12.2333	6.38259	0.26087
SRR1441528	Esophagus	14.6377	7.68477	0.262499
SRR660091	Brain	5.64373	2.82186	0.25
SRR1447784	Esophagus	13.6001	7.12386	0.261905
SRR1359238	Spleen	25.6088	13.6217	0.265957
SRR1478410	Thyroid	13.4243	7.03179	0.261905
SRR1071359	Fallopian Tube	5.6089	2.80445	0.25
SRR1455482	Skin	15.6875	8.25659	0.263158
SRR614011	Blood	15.4803	8.14754	0.263158
SRR2168286	Lung	40.7654	21.835	0.267813
SRR1441178	Prostate	5.55852	2.77926	0.25
SRR664935	Skin	15.2975	8.0513	0.263157
SRR613550	Adipose Tissue	15.1636	7.98087	0.263159
SRR1434650	Blood	16.7521	8.84138	0.263889
SRR1414447	Vagina	22.3156	11.8552	0.265626
SRR1085519	Muscle	5.51397	2.75698	0.25
SRR1346689	Adipose Tissue	14.9815	7.88498	0.263157
SRR1359821	Stomach	11.3818	5.93834	0.26087
SRR1099648	Blood	26.7704	14.2776	0.266668
SRR1459055	Lung	26.642	14.2091	0.266667
SRR1406135	Salivary Gland	32.4094	17.3352	0.267441
SRR604262	Brain	1.61318	0.645274	0.200001
SRR604148	Thyroid	33.7551	18.0661	0.267605
SRR1467233	Blood Vessel	26.1831	13.9643	0.266666
SRR1475524	Lung	11.082	5.78192	0.26087
SRR1413998	Bone Marrow	34.1704	18.3056	0.267858
SRR1399904	Brain	5.38582	2.69291	0.25
SRR661084	Blood	38.4041	20.6071	0.268293
SRR1467431	Blood	53.5764	28.8488	0.26923
SRR809725	Blood	104.862	56.6939	0.270326
SRR1329947	Esophagus	36.5406	19.6072	0.268293
SRR1321608	Heart	23.9449	12.7706	0.266666
SRR1076490	Testis	5.32591	2.66295	0.25
SRR604342	Thyroid	28.1355	15.0492	0.267441
SRR1369172	Blood Vessel	28.0131	14.9838	0.267443
SRR1390119	Pituitary	27.2928	14.5985	0.267442
SRR662918	Muscle	5.25494	2.62747	0.25
SRR1401933	Spleen	22.1388	11.8074	0.266668
SRR1365808	Lung	21.9583	11.7111	0.266667
SRR812625	Blood Vessel	10.3758	5.41345	0.260869
SRR1340157	Bone Marrow	34.0052	18.2621	0.268519
SRR2167209	Pancreas	2.09312	0.91005	0.217391
SRR1366747	Skin	30.1693	16.1777	0.268115
SRR1082909	Thyroid	21.6782	11.5617	0.266667
SRR1099286	Lung	15.7041	8.31392	0.264705
SRR1356290	Muscle	5.17735	2.58867	0.25
SRR662245	Muscle	5.17635	2.58818	0.25
SRR1473461	Esophagus	40.1262	21.6064	0.269231
SRR1397312	Esophagus	33.1899	17.8334	0.268657
SRR1357083	Esophagus	15.1581	8.02488	0.264706
SRR1076705	Esophagus	15.1381	8.01427	0.264705
SRR1395720	Nerve	20.3316	10.8435	0.266666
SRR600361	Brain	5.10696	2.55348	0.25
SRR1408657	Heart	5.09483	2.54741	0.25
SRR1325944	Pituitary	14.689	7.77653	0.264706
SRR1474485	Esophagus	19.646	10.4779	0.266668
SRR1084892	Heart	5.06432	2.53216	0.25
SRR1353376	Liver	10.7569	5.63456	0.261904
SRR1330284	Nerve	12.0743	6.3549	0.263158
SRR1351368	Pituitary	18.8432	10.0497	0.266666
SRR654886	Brain	5.00595	2.50297	0.25
SRR1072972	Pancreas	4.99676	2.49838	0.25
SRR1091918	Blood	86.4518	46.931	0.271429
SRR1445920	Vagina	14.1346	7.48305	0.264707
SRR1320137	Blood	10.4583	5.47815	0.261904
SRR1434610	Blood	37.9368	20.4738	0.269841
SRR1354035	Colon	4.96718	2.48359	0.25
SRR1409677	Spleen	31.2491	16.8264	0.26923
SRR1389955	Salivary Gland	18.213	9.71362	0.266667
SRR1343136	Small Intestine	11.6129	6.11204	0.263157
SRR1389384	Liver	4.9384	2.4692	0.25
SRR1077310	Esophagus	22.0136	11.793	0.267857
SRR1430023	Ovary	17.8318	9.51031	0.266667
SRR1396250	Muscle	4.91915	2.45957	0.249999
SRR608174	Brain	4.91297	2.45648	0.249999
SRR1069871	Esophagus	21.5962	11.5694	0.267857
SRR1325464	Heart	4.90621	2.4531	0.249999
SRR1347082	Stomach	4.89297	2.44649	0.250001
SRR1329601	Esophagus	17.2587	9.20463	0.266666
SRR1072223	Skin	21.0551	11.2795	0.267857
SRR1473800	Lung	21.0178	11.2595	0.267856
SRR614371	Bone Marrow	22.5569	12.1037	0.268293
SRR1352639	Spleen	17.0356	9.08567	0.266667
SRR1416889	Brain	4.85369	2.42685	0.250001
SRR1393510	Bone Marrow	27.3513	14.7276	0.26923
SRR1429348	Esophagus	13.0583	6.9132	0.264705
SRR1419015	Adrenal Gland	26.9641	14.5191	0.26923
SRR1467340	Bone Marrow	26.6275	14.3379	0.269231
SRR1444156	Spleen	26.5789	14.3117	0.26923
SRR1390203	Pancreas	4.81439	2.40719	0.249999
SRR1499607	Pituitary	18.6204	9.95973	0.267441
SRR659533	Blood Vessel	26.3681	14.1982	0.269231
SRR1322093	Skin	21.3671	11.4653	0.268293
SRR1364676	Brain	4.79871	2.39936	0.250001
SRR662558	Bone Marrow	30.1081	16.2488	0.269841
SRR1362488	Heart	16.2158	8.64842	0.266666
SRR1073095	Vagina	10.7553	5.66066	0.263157
SRR1429912	Pancreas	4.76593	2.38296	0.249999
SRR1105033	Colon	12.5053	6.62046	0.264706
SRR1335688	Brain	12.4878	6.61118	0.264706
SRR818110	Brain	9.50761	4.98018	0.261905
SRR1385690	Salivary Gland	18.8484	10.0973	0.267856
SRR662534	Brain	4.72618	2.36309	0.25
SRR1344271	Heart	4.72545	2.36272	0.249999
SRR1082640	Skin	24.0235	12.9357	0.26923
SRR1407134	Brain	4.71653	2.35827	0.250001
SRR1435484	Brain	4.71627	2.35813	0.249999
SRR1354338	Pancreas	4.69802	2.34901	0.25
SRR1418540	Esophagus	12.0086	6.35749	0.264706
SRR1075607	Testis	4.6748	2.3374	0.25
SRR1345847	Blood	17.7627	9.51571	0.267857
SRR658719	Pancreas	4.66221	2.3311	0.249999
SRR1452010	Esophagus	22.6049	12.1719	0.269231
